"","Country","Document","Element","ElementLabel","ElementText","HazardType","SystemType","Sector","SectorType","IndicatorType_theme","IndicatorType_information","IndicatorType_function","SectorType_GGA","RowID","ActionLevel_GPT","ActionType_GPT","ImpactCategories","ClimateImpact_Keywords","ResultType_GPT","Who","Region","UNFCCC Classification","Year of Submission","Document Language","Support 
received","If yes, from which organization?","Gender and Social Inclusion","If yes, Provide details related to GESI (including consideration of IK/LK, consideration of uniquely vulnerable social groups)","Coded by:","General notes"
"1","Algeria","BTR","Hazard","Temperature projections","Minimum and maximum temperatures will experience a significant increase. The summer months will show the greatest increases, with maximum temperature increases reaching up to 5.72°C in August by 2081-2100. The winter months (January and February) will see a more moderate, but still significant, increase exceeding 2°C.","Change in temperature",NA,NA,NA,NA,NA,NA,NA,4915,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"2","Algeria","BTR","Hazard","Precipitation projections","By 2041-2060. Precipitation tends to decrease gradually throughout the century, especially during the summer months (July, August). However, a slight increase is observed during the autumn and winter months, with values ranging from 7% to 8% compared to the reference period for months such as November and December.","Change in precipitation",NA,NA,NA,NA,NA,NA,NA,4916,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"3","Algeria","BTR","Indicator","Evaluation","Evaluation of primary production and productivity",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5020,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"4","Algeria","BTR","Indicator","Evaluation","Floristic composition",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5021,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"5","Algeria","BTR","Indicator","Evaluation","Evaluation of phytomass",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5019,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"6","Algeria","BTR","Indicator","Evaluation","Irrigated area",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5011,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"7","Algeria","BTR","Indicator","Evaluation","Rehabilitated orchards",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5012,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"8","Algeria","BTR","Indicator","Evaluation","Assessment of biological diversity",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5022,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"9","Algeria","BTR","Indicator","Evaluation","Trained farmers",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5014,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"10","Algeria","BTR","Adaptation priorities","Evaluation","Restoration of the steppe ecosystem through the regeneration of alfa",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5015,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"11","Algeria","BTR","Indicator","Evaluation","Rate of rehabilitated area",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5016,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"12","Algeria","BTR","Indicator","Evaluation","Varieties produced",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5013,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"13","Algeria","BTR","Adaptation priorities","Evaluation","Installation of an observatory for ecological, climatic and socioeconomic monitoring of the steppe ecosystem",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5018,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"14","Algeria","BTR","Hazard","Observed climate","An intense heat wave affected northern Algeria between August 9 and 15, 2021, during which 12 new maximum temperature records were recorded","Extreme temperature",NA,NA,NA,NA,NA,NA,NA,4912,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"15","Algeria","BTR","Hazard","Observed climate","For the North region, the cumulative rainfall, during the period 2020-2023, reveals contrasting values in 2021, with precipitation close to normal in some localities. However, a notable deficit is observed during the years 2022 and 2023, reaching a decrease of more than 50% compared to the climatic normal calculated over the period 1991-2020.","Change in precipitation",NA,NA,NA,NA,NA,NA,NA,4913,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"16","Algeria","BTR","Hazard","Observed climate","For the Southern region of Algeria, it experienced significant variability in rainfall during the period 2020-2023. While 2021 presented a near-normal cumulative rainfall, or even excess in some localities, the years 2022 and 2023 are characterized by a notable deficit accentuated in the stations of Tamanrasset and Djanet. These deficits highlight the increased vulnerability of the Southern region to climate fluctuations, exacerbated by global climate change.","Change in precipitation",NA,NA,NA,NA,NA,NA,NA,4914,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"17","Algeria","BTR","Action","Evaluation","Development and extension of irrigation (drip) in water-saving system",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4994,"Substantive action",NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"18","Algeria","BTR","Indicator","Evaluation","Annual increase in irrigated area",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4995,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"19","Algeria","BTR","Result","Evaluation","We went from 757,494 ha irrigated in 2018 to 996,807 ha in 2022. Water savers have enabled water savings of more than 20%, or the water requirement of 200,000 ha",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4996,NA,NA,NA,NA,"Outcome",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"20","Algeria","BTR","Result","Evaluation","Irrigated area 2019: 1489,988 ha -2022: 1489,988 ha",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4997,NA,NA,NA,NA,"Output",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"21","Algeria","BTR","Result","Evaluation","Training of managers and farmers as a continuous action by the institutes under supervision and the chambers of farmers of the wi-layas",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4998,NA,NA,NA,NA,"Output",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"22","Algeria","BTR","Adaptation priorities","Evaluation","Improving agricultural practices for better use of rainwater in semi-arid areas",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4999,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"23","Algeria","BTR","Result","Evaluation","Demonstration site identified",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5000,NA,NA,NA,NA,"Output",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"24","Algeria","BTR","Result","Evaluation","Rainwater collection techniques evaluated and the most appropriate chosen",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5001,NA,NA,NA,NA,"Process",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"25","Algeria","BTR","Indicator","Evaluation","Evolution of the surface area of regenerated alfa",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5017,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"26","Algeria","BTR","Hazard","Observed climate","An average increase of +0.63°C in the North compared to the annual norm. The years 2020 to 2023 stand out clearly from the lot of the said decade, with a record increase of +1.25°C recorded in 2022, followed by the years 2021, 2023 and 2020",NA,NA,NA,NA,NA,NA,NA,NA,4911,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"27","Algeria","BTR","Result","Evaluation","Estimation of the quantity of fodder and the production of oils envisaged for 2023 compared to that of the end of 2017",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5004,NA,NA,NA,NA,"Output",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"28","Algeria","BTR","Adaptation priorities","Evaluation","Selection and genetic improvement or nutritional qualities, a tolerance to abiotic stresses (water deficit/drying), market gardening and arboriculture",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5005,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"29","Algeria","BTR","Result","Evaluation","Registration in the varietal catalogue, especially for cereals. They must cover the areas and production of each species envisaged by 2022 compared to that of the end of 2017.",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5006,NA,NA,NA,NA,"Process",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"30","Algeria","BTR","Adaptation priorities","Evaluation","Develop sowing techniques in marginal areas and areas that are fragile and sensitive to erosion",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5007,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"31","Algeria","BTR","Indicator","Evaluation","Number of hectares in direct seeding by 20202 and 2023",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5008,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"32","Algeria","BTR","Adaptation priorities","Evaluation","Preservation of Bouhmama apple orchards against advanced drought and urgent measures to ensure their sustainable irrigation",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5009,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"33","Algeria","BTR","Indicator","Evaluation","Number of irrigation devices installed",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5010,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"34","Algeria","BTR","Climate impact","Impacts and vulnerabilities","Forest fires are classified as a major risk and remain the main cause of the degradation of the national forest heritage, with rates of 2,800 fires recorded on average over the last ten years affecting an average area covered by fire of more than 40,000 ha.",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",4930,NA,NA,NA,"degradation of the national forest heritage; an average area covered by fire of more than 40,000 ha",NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"35","Algeria","BTR","Hazard","Impacts and vulnerabilities","The effects of climate change are manifested by shorter rainy seasons, intense heat waves, an increase in flooding, a drastic reduction in water supply to watersheds, significant drawdowns in several water tables, the disappearance of artesian wells in several aquifers and the rise in salinity and pollution levels of marine and continental waters","Extreme temperature;Flood;Change in precipitation;Salinization",NA,"Water resources",NA,NA,NA,NA,NA,4931,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"36","Algeria","BTR","System at risk","Impacts and vulnerabilities","The effects of climate change are manifested by shorter rainy seasons, intense heat waves, an increase in flooding, a drastic reduction in water supply to watersheds, significant drawdowns in several water tables, the disappearance of artesian wells in several aquifers and the rise in salinity and pollution levels of marine and continental waters",NA,"Freshwater;Coastal;Health;Infrastructure and services","Water resources","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",4932,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"37","Algeria","BTR","Climate impact","Impacts and vulnerabilities","The effects of climate change are manifested by shorter rainy seasons, intense heat waves, an increase in flooding, a drastic reduction in water supply to watersheds, significant drawdowns in several water tables, the disappearance of artesian wells in several aquifers and the rise in salinity and pollution levels of marine and continental waters",NA,NA,"Water resources",NA,NA,NA,NA,NA,4933,NA,NA,"Water availability shortfall; Air quality deterioration","shorter rainy seasons; intense heat waves; an increase in flooding; a drastic reduction in water supply to watersheds; significant drawdowns in several water tables; disappearance of artesian wells in several aquifers; rise in salinity and pollution levels of marine and continental waters",NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"38","Algeria","BTR","Adaptation priorities","Evaluation","Introduction of new adapted species and their promotion, such as opuntia",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5002,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"39","Algeria","BTR","Indicator","Evaluation","Surfaces and production of new species",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5003,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"40","Algeria","BTR","System at risk","Impacts and vulnerabilities","Since 2016, there has been a recurring cycle of drought, with a decline in rainfall, especially in the western region. The deficit is increasing and may become irreversible.",NA,NA,"Water resources",NA,NA,NA,NA,NA,4936,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"41","Algeria","BTR","System at risk","Impacts and vulnerabilities","The evolution of the water reserves of dams over the past two decades unequivocally confirms the alternation between dry and wet periods. These cycles, which were previously balanced and of equivalent duration, have experienced a disruption that is taking hold and tends to increase the persistence of drought, especially in the western regions of the country.",NA,"Freshwater","Water resources","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",4937,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"42","Algeria","BTR","Climate impact","Impacts and vulnerabilities","The evolution of the water reserves of dams over the past two decades unequivocally confirms the alternation between dry and wet periods. These cycles, which were previously balanced and of equivalent duration, have experienced a disruption that is taking hold and tends to increase the persistence of drought, especially in the western regions of the country.",NA,NA,"Water resources",NA,NA,NA,NA,NA,4938,NA,NA,NA,"persistence of drought",NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"43","Algeria","BTR","System at risk","Impacts and vulnerabilities","The regulated volumes, for which the dams were designed, are no longer guaranteed and the water supplies, during flood periods, are below previous annual supplies.",NA,"Freshwater","Water resources","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",4939,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"44","Algeria","BTR","System at risk","Impacts and vulnerabilities","The phenomenon of exceptional floods, outside the rainy season, is increasingly frequent in certain watersheds, with real risks to the safety of property and people downstream, as well as to the integrity of mobilization structures. In addition, they often occur with unusual intensity, causing soil erosion.",NA,"Terrestrial","Water resources","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",4940,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"45","Algeria","BTR","Indicator","Evaluation","Development of chronological maps",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5023,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"46","Algeria","BTR","Indicator","Evaluation","Assessment of pastoral value",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5024,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"47","Algeria","BTR","Indicator","Evaluation","Soil characterization",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5025,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"48","Algeria","BTR","Indicator","Evaluation","Assessment of climatic parameters",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",5026,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"49","Algeria","BTR","Action","Evaluation","Fight against sand encroachment and provide exposed areas with specific means to deal with it",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5027,"Substantive action","Infrastructural/ technological",NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"50","Algeria","BTR","Indicator","Evaluation","Area of dune fixation: 743 ha",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5028,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"51","Algeria","BTR","Hazard","Impacts and vulnerabilities","Droughts have had a proven impact on the surface water potential of the North of the country with a downward trend: 6.5 billion m3 /year at the end of the 1970s, 5 billion m3 /year in the 1980s and 4 billion m3 / year in the 2000s","Drought",NA,"Water resources",NA,NA,NA,NA,NA,4934,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"52","Algeria","BTR","System at risk","Impacts and vulnerabilities","Droughts have had a proven impact on the surface water potential of the North of the country with a downward trend: 6.5 billion m3 /year at the end of the 1970s, 5 billion m3 /year in the 1980s and 4 billion m3 / year in the 2000s",NA,NA,"Water resources",NA,NA,NA,NA,NA,4935,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"53","Algeria","BTR","Action","Evaluation","Rehabilitation of courses by putting them under defense",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5030,"Substantive action","Institutional",NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"54","Algeria","BTR","Result","Evaluation","850 ha of protected rangeland area at a cost of 129 million dinars",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5031,NA,NA,NA,NA,"Output",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"55","Algeria","BTR","Adaptation priorities","Evaluation","Resilience of Algerian wetlands to CC",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5032,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"56","Algeria","BTR","Indicator","Evaluation","Number of wetlands classified as being of national importance and international",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5033,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"57","Algeria","BTR","Indicator","Evaluation","Number of management plans developed and implemented at the ZH level",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5034,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"58","Algeria","BTR","Result","Evaluation","10 Management Plans and 50 wetlands, the action plan of the National Strategy for Ecosystemic Management of Wetlands, included 18 objectives and 79 activities for an implementation period of (2016-2030), and the mid-term evaluation was carried out",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5035,NA,NA,NA,NA,"Process",NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"59","Algeria","BTR","Adaptation priorities","Evaluation","Strengthening 2024) the resilience of protected areas to CC.",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5036,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"60","Algeria","BTR","Indicator","Evaluation","Number of protected areas created: 10",NA,NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",5037,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"61","Algeria","BTR","Hazard","Precipitation projections","By 2081-2100, projections indicate a relative decrease in precipitation, particularly during summer.","Change in precipitation",NA,NA,NA,NA,NA,NA,NA,4917,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"62","Algeria","BTR","System at risk","Impacts and vulnerabilities","The increase in the frequency and intensity of RMC due to the occurrence and spread of diseases and epidemics that affect women more, as care often falls to them. In addition, this increases their workload and results in an increased contribution from girls whose schooling risks being compromised.",NA,"Gender and inclusion;Health;Infrastructure and services","Gender","Crosscutting",NA,NA,NA,"Health",4918,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
