"","X.1","X","...1","RowID","Country","Document","Element","ElementLabel","ElementText","HazardType","SystemType","Sector","SectorType","ResultType","Action.level","ActionType","IndicatorType_theme","IndicatorType_information","IndicatorType_function","BarrierType","SectorType_GGA","ClimateImpact_Keywords","ImpactCategories","From_SystemAtRisk","Source_ElementLabel","InterventionType_GPT","ActionType_GPT"
"1",1,1,1,1,"Rwanda","BTR","Hazard",NA,"Environmental challenges, including floods, landslides, and destructive rains, affected 22.9% of households, according to the Rwanda Household Survey (RHHS) 2019/2020 report","Landslide;Flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,2,2,"Rwanda","BTR","Hazard",NA,"The eastern lowland climate’s extended dry periods pose challenges such as drought, reduced crop yields, and water scarcity, underscoring the need for water conservation and drought mitigation strategies.","Drought",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,3,3,"Rwanda","BTR","Hazard","Heavy precipitation","The mountain and Lake Kivu climate zones face recurring issues related to flooding and soil erosion, necessitating infrastructure improvements to manage the impacts of heavy precipitation.","Flood;Change in precipitation;Land degradation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,4,"Rwanda","BTR","System at risk","Heavy precipitation","The mountain and Lake Kivu climate zones face recurring issues related to flooding and soil erosion, necessitating infrastructure improvements to manage the impacts of heavy precipitation.",NA,"Terrestrial;Infrastructure and services",NA,"Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,NA,NA,NA,NA,NA
"5",5,5,5,5,"Rwanda","BTR","Hazard","Heavy precipitation","The 2018 Climate Change Vulnerability Assessment for Rwanda provides a comprehensive analysis of how climate change is affecting various sectors and regions within the country. The assessment reveals that Rwanda is highly vulnerable to climate-related hazards, including floods, droughts, landslides, and windstorms, all of which are exacerbated by changing weather patterns.","Storm;Drought;Landslide;Flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,6,6,"Rwanda","BTR","Climate impact","Heavy precipitation","The 2018 Climate Change Vulnerability Assessment for Rwanda provides a comprehensive analysis of how climate change is affecting various sectors and regions within the country. The assessment reveals that Rwanda is highly vulnerable to climate-related hazards, including floods, droughts, landslides, and windstorms, all of which are exacerbated by changing weather patterns.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,7,7,"Rwanda","BTR","System at risk","Heavy precipitation","The Southern Province is highlighted as the most vulnerable, with districts like Huye, Gisagara, and Ruhango being particularly at risk. These areas are heavily reliant on agriculture, making them susceptible to the negative impacts of droughts and flooding, which reduce agricultural productivity and food security",NA,"Crop;Food and nutrition",NA,"Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"8",8,8,8,8,"Rwanda","BTR","Hazard","Heavy precipitation","The Southern Province is highlighted as the most vulnerable, with districts like Huye, Gisagara, and Ruhango being particularly at risk. These areas are heavily reliant on agriculture, making them susceptible to the negative impacts of droughts and flooding, which reduce agricultural productivity and food security","Drought;Flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,9,9,"Rwanda","BTR","System at risk","Heavy precipitation","In rapidly expanding urban areas, growing concerns center around water shortages during prolonged dry spells and the heightened risk of flooding and landslides, particularly in vulnerable informal settlements located in high-risk zones such as steep slopes and floodplains. These challenges underscore the urgent need for sustainable urban planning and resilience-building measures to mitigate the impacts on affected communities.",NA,"Freshwater;Infrastructure and services",NA,"Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,NA,NA,NA,NA,NA
"10",10,10,10,10,"Rwanda","BTR","Climate impact","Heavy precipitation","In rapidly expanding urban areas, growing concerns center around water shortages during prolonged dry spells and the heightened risk of flooding and landslides, particularly in vulnerable informal settlements located in high-risk zones such as steep slopes and floodplains. These challenges underscore the urgent need for sustainable urban planning and resilience-building measures to mitigate the impacts on affected communities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water availability shortfall",NA,NA,NA,NA
"11",10,10,10,10,"Rwanda","BTR","Climate impact","Heavy precipitation","In rapidly expanding urban areas, growing concerns center around water shortages during prolonged dry spells and the heightened risk of flooding and landslides, particularly in vulnerable informal settlements located in high-risk zones such as steep slopes and floodplains. These challenges underscore the urgent need for sustainable urban planning and resilience-building measures to mitigate the impacts on affected communities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water availability shortfall; Damage to buildings & infrastructure",NA,NA,NA,NA
"12",11,11,11,11,"Rwanda","BTR","Hazard","Heavy precipitation","In rapidly expanding urban areas, growing concerns center around water shortages during prolonged dry spells and the heightened risk of flooding and landslides, particularly in vulnerable informal settlements located in high-risk zones such as steep slopes and floodplains. These challenges underscore the urgent need for sustainable urban planning and resilience-building measures to mitigate the impacts on affected communities.","Drought;Landslide;Flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",12,12,12,12,"Rwanda","BTR","Hazard","Heavy precipitation","Peaks in rainfall are observed around 1998 and 2002, while significant drops occur in 2016 and 2021. These fluctuations may be linked to climatic events such as El Niño and La Niña, which influence precipitation patterns and can lead to droughts or floods, impacting agriculture, water availability, and infrastructure.","Drought;Flood;Change in precipitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",13,13,13,13,"Rwanda","BTR","System at risk","Heavy precipitation","Peaks in rainfall are observed around 1998 and 2002, while significant drops occur in 2016 and 2021. These fluctuations may be linked to climatic events such as El Niño and La Niña, which influence precipitation patterns and can lead to droughts or floods, impacting agriculture, water availability, and infrastructure.",NA,"Crop;Freshwater;Infrastructure and services",NA,"Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"15",14,14,14,14,"Rwanda","BTR","Hazard","Temperature increase","The mean annual temperature reaches its highest level in 2021, consistent with global warming trends. Similarly, maximum and minimum temperatures show peaks during this period, reflecting an overall warming climate. This warming is particularly evident in minimum temperatures, which have implications for reduced frost occurrence, longer growing seasons, and changes in biodiversity. The rising temperatures are likely to exacerbate heat stress, alter ecosystems, and increase energy demands for cooling","Extreme temperature;Change in temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",15,15,15,15,"Rwanda","BTR","Climate impact","Temperature increase","The mean annual temperature reaches its highest level in 2021, consistent with global warming trends. Similarly, maximum and minimum temperatures show peaks during this period, reflecting an overall warming climate. This warming is particularly evident in minimum temperatures, which have implications for reduced frost occurrence, longer growing seasons, and changes in biodiversity. The rising temperatures are likely to exacerbate heat stress, alter ecosystems, and increase energy demands for cooling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Energy system impacts; Ecosystem degradation & biodiversity loss; Potential gains",NA,NA,NA,NA
"17",16,16,16,16,"Rwanda","BTR","Climate impact","Temperature increase","For agriculture, warmer nights and fewer cool periods can alter crop cycles and reduce yields, while higher temperatures drive increased water and energy demands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop production loss; Energy system impacts",NA,NA,NA,NA
"18",16,16,16,16,"Rwanda","BTR","Climate impact","Temperature increase","For agriculture, warmer nights and fewer cool periods can alter crop cycles and reduce yields, while higher temperatures drive increased water and energy demands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop production loss; Energy system impacts",NA,NA,NA,NA
"19",17,17,17,17,"Rwanda","BTR","Hazard","Temperature increase","For agriculture, warmer nights and fewer cool periods can alter crop cycles and reduce yields, while higher temperatures drive increased water and energy demands.","Extreme temperature;Change in temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",18,18,18,18,"Rwanda","BTR","Hazard","Temperature increase","Minimum temperatures are expected to increase, with more warm nights and fewer 


cool nights","Change in temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",19,19,19,19,"Rwanda","BTR","Hazard","Temperature increase","The frequency and intensity of hot days are likely to increase","Extreme temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",20,20,20,20,"Rwanda","BTR","Hazard","Temperature increase","Rising temperatures also influence human health, exacerbating heat-related illnesses, and disrupt ecosystems, which may lead to shifts in species distribution and ecosystem functions.","Change in temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",21,21,21,21,"Rwanda","BTR","System at risk","Temperature increase","For agriculture, warmer nights and fewer cool periods can alter crop cycles and reduce yields, while higher temperatures drive increased water and energy demands.",NA,"Crop;Infrastructure and services",NA,"Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"24",22,22,22,22,"Rwanda","BTR","Climate impact","Temperature increase","Rising temperatures also influence human health, exacerbating heat-related illnesses, and disrupt ecosystems, which may lead to shifts in species distribution and ecosystem functions.",NA,NA,"Health","Health, wellbeing and communities",NA,NA,NA,NA,NA,NA,NA,"Health",NA,"Human health burden",NA,NA,NA,NA
"25",23,23,23,23,"Rwanda","BTR","Hazard","Temperature increase","Projected higher temperatures can drive increased water and energy demands, as well as exacerbate heat-related illnesses and disrupt ecosystems, potentially leading to shifts in species distribution and ecosystem functions","Change in temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",24,24,24,24,"Rwanda","BTR","Climate impact","Temperature increase","Projected higher temperatures can drive increased water and energy demands, as well as exacerbate heat-related illnesses and disrupt ecosystems, potentially leading to shifts in species distribution and ecosystem functions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human health burden; Energy system impacts",NA,NA,NA,NA
"27",24,24,24,24,"Rwanda","BTR","Climate impact","Temperature increase","Projected higher temperatures can drive increased water and energy demands, as well as exacerbate heat-related illnesses and disrupt ecosystems, potentially leading to shifts in species distribution and ecosystem functions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human health burden; Energy system impacts",NA,NA,NA,NA
"28",25,25,25,25,"Rwanda","BTR","Hazard","Temperature increase","Positive developments in Rwanda are at risk from rising temperatures and fluctuating rainfall. These climate challenges could significantly affect key sectors such as agriculture, energy, health, and tourism. Furthermore, they may undermine efforts to create jobs, boost productivity, and ensure inclusive economic growth.","Change in temperature;Change in precipitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",26,26,26,26,"Rwanda","BTR","System at risk","Temperature increase","Projected higher temperatures can drive increased water and energy demands, as well as exacerbate heat-related illnesses and disrupt ecosystems, potentially leading to shifts in species distribution and ecosystem functions",NA,"Biodiversity;Infrastructure and services",NA,"Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,NA,NA,NA,NA,NA
"30",27,27,27,27,"Rwanda","BTR","Climate impact","Temperature increase","Positive developments in Rwanda are at risk from rising temperatures and fluctuating rainfall. These climate challenges could significantly affect key sectors such as agriculture, energy, health, and tourism. Furthermore, they may undermine efforts to create jobs, boost productivity, and ensure inclusive economic growth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Energy system impacts",NA,NA,NA,NA
"31",27,27,27,27,"Rwanda","BTR","Climate impact","Temperature increase","Positive developments in Rwanda are at risk from rising temperatures and fluctuating rainfall. These climate challenges could significantly affect key sectors such as agriculture, energy, health, and tourism. Furthermore, they may undermine efforts to create jobs, boost productivity, and ensure inclusive economic growth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Energy system impacts; Economic & livelihood losses",NA,NA,NA,NA
"32",28,28,28,28,"Rwanda","BTR","System at risk","Temperature increase","Positive developments in Rwanda are at risk from rising temperatures and fluctuating rainfall. These climate challenges could significantly affect key sectors such as agriculture, energy, health, and tourism. Furthermore, they may undermine efforts to create jobs, boost productivity, and ensure inclusive economic growth.",NA,"Crop;Livelihoods and poverty;Health;Infrastructure and services",NA,"Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Poverty eradication and livelihoods",NA,NA,NA,NA,NA,NA
"33",29,29,29,29,"Rwanda","BTR","Climate impact","Temperature increase","The majority of agricultural households still rely on rainfed cultivation, and the sector is hindered by variable rainfall, poor infrastructure, substantial postharvest losses, and lack of access to inputs and finance",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Crop production loss",NA,NA,NA,NA
"34",30,30,30,30,"Rwanda","BTR","Hazard","Temperature increase","Rising temperatures compromise the quality and productivity of highly lucrative, temperature-sensitive tea and coffee (which account for more than 20 per cent of export earnings) as agroecological zones shift to higher elevations with less arable land","Change in temperature",NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"35",31,31,31,31,"Rwanda","BTR","Climate impact","Temperature increase","Rising temperatures compromise the quality and productivity of highly lucrative, temperature-sensitive tea and coffee (which account for more than 20 per cent of export earnings) as agroecological zones shift to higher elevations with less arable land",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Agricultural system shifts",NA,NA,NA,NA
