"Country","Document","ElementText","HazardType"
"Rwanda","BTR","<span title='Environmental challenges, including floods, landslides, and destructive rains, affected 22.9% of households, according to the Rwanda Household Survey (RHHS) 2019/2020 report'>Environmental challenges, including floods, landsl...</span>","Landslide;Flood"
"Rwanda","BTR","<span title='The eastern lowland climate’s extended dry periods pose challenges such as drought, reduced crop yields, and water scarcity, underscoring the need for water conservation and drought mitigation strategies.'>The eastern lowland climate’s extended dry periods...</span>","Drought"
"Rwanda","BTR","<span title='The mountain and Lake Kivu climate zones face recurring issues related to flooding and soil erosion, necessitating infrastructure improvements to manage the impacts of heavy precipitation.'>The mountain and Lake Kivu climate zones face recu...</span>","Flood;Change in precipitation;Land degradation"
"Rwanda","BTR","<span title='The 2018 Climate Change Vulnerability Assessment for Rwanda provides a comprehensive analysis of how climate change is affecting various sectors and regions within the country. The assessment reveals that Rwanda is highly vulnerable to climate-related hazards, including floods, droughts, landslides, and windstorms, all of which are exacerbated by changing weather patterns.'>The 2018 Climate Change Vulnerability Assessment f...</span>","Storm;Drought;Landslide;Flood"
"Rwanda","BTR","<span title='The Southern Province is highlighted as the most vulnerable, with districts like Huye, Gisagara, and Ruhango being particularly at risk. These areas are heavily reliant on agriculture, making them susceptible to the negative impacts of droughts and flooding, which reduce agricultural productivity and food security'>The Southern Province is highlighted as the most v...</span>","Drought;Flood"
"Rwanda","BTR","<span title='In rapidly expanding urban areas, growing concerns center around water shortages during prolonged dry spells and the heightened risk of flooding and landslides, particularly in vulnerable informal settlements located in high-risk zones such as steep slopes and floodplains. These challenges underscore the urgent need for sustainable urban planning and resilience-building measures to mitigate the impacts on affected communities.'>In rapidly expanding urban areas, growing concerns...</span>","Drought;Landslide;Flood"
"Rwanda","BTR","<span title='Peaks in rainfall are observed around 1998 and 2002, while significant drops occur in 2016 and 2021. These fluctuations may be linked to climatic events such as El Niño and La Niña, which influence precipitation patterns and can lead to droughts or floods, impacting agriculture, water availability, and infrastructure.'>Peaks in rainfall are observed around 1998 and 200...</span>","Drought;Flood;Change in precipitation"
"Rwanda","BTR","<span title='The mean annual temperature reaches its highest level in 2021, consistent with global warming trends. Similarly, maximum and minimum temperatures show peaks during this period, reflecting an overall warming climate. This warming is particularly evident in minimum temperatures, which have implications for reduced frost occurrence, longer growing seasons, and changes in biodiversity. The rising temperatures are likely to exacerbate heat stress, alter ecosystems, and increase energy demands for cooling'>The mean annual temperature reaches its highest le...</span>","Extreme temperature;Change in temperature"
"Rwanda","BTR","<span title='For agriculture, warmer nights and fewer cool periods can alter crop cycles and reduce yields, while higher temperatures drive increased water and energy demands.'>For agriculture, warmer nights and fewer cool peri...</span>","Extreme temperature;Change in temperature"
"Rwanda","BTR","<span title='Minimum temperatures are expected to increase, with more warm nights and fewer 
cool nights'>Minimum temperatures are expected to increase, wit...</span>","Change in temperature"
