"Region","Impact Category","Occurrences"
"Asia-Pacific","Human mortality & morbidity",153
"Africa","Water availability & quality",137
"Africa","Human mortality & morbidity",118
"Asia-Pacific","Water availability & quality",118
"Africa","Ecosystem Degradation & Biodiversity Loss",92
"Asia-Pacific","Economic & Livelihood Losses",91
"Asia-Pacific","Ecosystem Degradation & Biodiversity Loss",85
"Latin America and the Carribean","Human mortality & morbidity",84
"Eastern Europe","Human mortality & morbidity",68
"Latin America and the Carribean","Ecosystem Degradation & Biodiversity Loss",66
"Latin America and the Carribean","Water availability & quality",66
"Eastern Europe","Water availability & quality",64
"Western Europe and Other states","Water availability & quality",62
"Africa","Economic & Livelihood Losses",60
"Eastern Europe","Energy System Impacts",53
"Western Europe and Other states","Ecosystem Degradation & Biodiversity Loss",53
"Western Europe and Other states","Human mortality & morbidity",52
"Eastern Europe","Ecosystem Degradation & Biodiversity Loss",49
"Latin America and the Carribean","Economic & Livelihood Losses",46
"Latin America and the Carribean","Coastal Inundation & Shoreline Erosion",45
"Asia-Pacific","Crop Production Loss",40
"Africa","Crop Production Loss",39
"Western Europe and Other states","Coastal Inundation & Shoreline Erosion",38
"Africa","Coastal Inundation & Shoreline Erosion",37
"Asia-Pacific","Energy System Impacts",36
"Latin America and the Carribean","Energy System Impacts",36
"Africa","Energy System Impacts",35
"Asia-Pacific","Transport Disruption",35
"Asia-Pacific","Coastal Inundation & Shoreline Erosion",34
"Eastern Europe","Crop Production Loss",32
"Eastern Europe","Economic & Livelihood Losses",32
"Latin America and the Carribean","Crop Production Loss",32
"Africa","Transport Disruption",31
"Asia-Pacific","Displacement & Migration",30
"Eastern Europe","Transport Disruption",30
"Africa","Food Security & Nutrition Decline",28
"Latin America and the Carribean","Transport Disruption",28
"Western Europe and Other states","Energy System Impacts",26
"Africa","Agricultural Pests & Diseases",25
"Eastern Europe","Tourism & Recreation Impacts",24
"Western Europe and Other states","Economic & Livelihood Losses",24
"Western Europe and Other states","Transport Disruption",24
"Africa","Soil Erosion & Land Degradation",22
"Western Europe and Other states","Agricultural Pests & Diseases",22
"Asia-Pacific","Food Security & Nutrition Decline",21
"Eastern Europe","Agricultural Pests & Diseases",20
"Western Europe and Other states","Crop Production Loss",20
"Western Europe and Other states","Damage To Buildings & Infrastructure",20
"Asia-Pacific","Agricultural Pests & Diseases",19
"Eastern Europe","Damage To Buildings & Infrastructure",19
"Latin America and the Carribean","Fisheries & Aquaculture Decline",19
"Asia-Pacific","Fisheries & Aquaculture Decline",18
"Africa","Displacement & Migration",17
"Asia-Pacific","Damage To Buildings & Infrastructure",17
"Asia-Pacific","Soil Erosion & Land Degradation",16
"Latin America and the Carribean","Agricultural Pests & Diseases",16
"Eastern Europe","Coastal Inundation & Shoreline Erosion",15
"Latin America and the Carribean","Displacement & Migration",15
"Eastern Europe","Soil Erosion & Land Degradation",14
"Latin America and the Carribean","Food Security & Nutrition Decline",14
"Africa","Fisheries & Aquaculture Decline",13
"Africa","Damage To Buildings & Infrastructure",12
"Africa","Tourism & Recreation Impacts",11
"Latin America and the Carribean","Soil Erosion & Land Degradation",11
"Asia-Pacific","Tourism & Recreation Impacts",9
"Latin America and the Carribean","Damage To Buildings & Infrastructure",8
"Latin America and the Carribean","Tourism & Recreation Impacts",8
"Western Europe and Other states","Displacement & Migration",6
"Western Europe and Other states","Food Security & Nutrition Decline",6
"Western Europe and Other states","Soil Erosion & Land Degradation",6
"Western Europe and Other states","Tourism & Recreation Impacts",5
"Eastern Europe","Fisheries & Aquaculture Decline",4
"Eastern Europe","Food Security & Nutrition Decline",4
"Western Europe and Other states","Fisheries & Aquaculture Decline",3
"Eastern Europe","Displacement & Migration",1
