source,target,value,stage
Food and agriculture,Substantive action,134,GGA→ActionLevel
Biodiversity and ecosystems,Substantive action,114,GGA→ActionLevel
Infrastructure and human settlements,Substantive action,80,GGA→ActionLevel
Health,Substantive action,44,GGA→ActionLevel
Biodiversity and ecosystems,Groundwork,43,GGA→ActionLevel
Food and agriculture,Groundwork,35,GGA→ActionLevel
Poverty eradication and livelihoods,Substantive action,28,GGA→ActionLevel
Poverty eradication and livelihoods,Groundwork,27,GGA→ActionLevel
Infrastructure and human settlements,Groundwork,22,GGA→ActionLevel
Health,Groundwork,20,GGA→ActionLevel
Water and sanitation,Substantive action,8,GGA→ActionLevel
Water and sanitation,Groundwork,4,GGA→ActionLevel
Cultural heritage,Groundwork,3,GGA→ActionLevel
Cultural heritage,Substantive action,2,GGA→ActionLevel
Food and agriculture,Substantive,2,GGA→ActionLevel
Biodiversity and ecosystems,Substantive,1,GGA→ActionLevel
Substantive action,institutional,146,ActionLevel→ActionType
Substantive action,ecosystem based,135,ActionLevel→ActionType
Substantive action,social,85,ActionLevel→ActionType
Groundwork,institutional,79,ActionLevel→ActionType
Substantive action,infrastructure/structural / physical,44,ActionLevel→ActionType
Groundwork,ecosystem based,35,ActionLevel→ActionType
Groundwork,social,34,ActionLevel→ActionType
Groundwork,infrastructure/structural / physical,6,ActionLevel→ActionType
Substantive,ecosystem based,2,ActionLevel→ActionType
Substantive,social,1,ActionLevel→ActionType
