source,target,value
Not specified,institutional,197
Biodiversity and ecosystems,institutional,177
Infrastructure and human settlements,institutional,145
Water and sanitation,ecosystem based,122
Biodiversity and ecosystems,ecosystem based,101
Food and agriculture,institutional,101
Water and sanitation,institutional,90
Not specified,social,83
Food and agriculture,ecosystem based,77
Biodiversity and ecosystems,social,74
Infrastructure and human settlements,ecosystem based,65
Infrastructure and human settlements,social,52
Water and sanitation,social,49
Poverty eradication and livelihoods,institutional,41
Food and agriculture,social,39
Health,social,38
Health,institutional,33
Not specified,ecosystem based,30
Infrastructure and human settlements,infrastructure/structural / physical,26
Biodiversity and ecosystems,infrastructure/structural / physical,21
Poverty eradication and livelihoods,social,21
Water and sanitation,infrastructure/structural / physical,11
Cultural heritage,institutional,10
Food and agriculture,infrastructure/structural / physical,9
Not specified,infrastructure/structural / physical,9
Poverty eradication and livelihoods,ecosystem based,9
Health,infrastructure/structural / physical,7
Health,ecosystem based,5
Poverty eradication and livelihoods,infrastructure/structural / physical,4
Cultural heritage,social,3
