,Country,EntryID,Document,Element,ElementLabel,ElementText,HazardType,SystemType,Sector,SectorType,ResultType,IndicatorType_theme,IndicatorType_information,IndicatorType_function,SectorType_GGA,Who,Region,UNFCCC Classification,Year of Submission,Document Language,"Support 
received","If yes, from which organization?",Gender and Social Inclusion,"If yes, Provide details related to GESI (including consideration of IK/LK, consideration of uniquely vulnerable social groups)",Coded by:,General notes
1,Algeria,4915,BTR,Hazard,Temperature projections,"Minimum and maximum temperatures will experience a significant increase. The summer months will show the greatest increases, with maximum temperature increases reaching up to 5.72°C in August by 2081-2100. The winter months (January and February) will see a more moderate, but still significant, increase exceeding 2°C.",Change in temperature,,NA,,NA,NA,NA,NA,,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
2,Algeria,4916,BTR,Hazard,Precipitation projections,"By 2041-2060. Precipitation tends to decrease gradually throughout the century, especially during the summer months (July, August). However, a slight increase is observed during the autumn and winter months, with values ranging from 7% to 8% compared to the reference period for months such as November and December.",Change in precipitation,,NA,,NA,NA,NA,NA,,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
3,Algeria,5020,BTR,Indicator,Evaluation,Evaluation of primary production and productivity,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
4,Algeria,5021,BTR,Indicator,Evaluation,Floristic composition,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
5,Algeria,5019,BTR,Indicator,Evaluation,Evaluation of phytomass,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
6,Algeria,5011,BTR,Indicator,Evaluation,Irrigated area,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
7,Algeria,5012,BTR,Indicator,Evaluation,Rehabilitated orchards,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
8,Algeria,5022,BTR,Indicator,Evaluation,Assessment of biological diversity,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
9,Algeria,5014,BTR,Indicator,Evaluation,Trained farmers,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
10,Algeria,5015,BTR,Adaptation priorities,Evaluation,Restoration of the steppe ecosystem through the regeneration of alfa,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
11,Algeria,5016,BTR,Indicator,Evaluation,Rate of rehabilitated area,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
12,Algeria,5013,BTR,Indicator,Evaluation,Varieties produced,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
13,Algeria,5018,BTR,Adaptation priorities,Evaluation,"Installation of an observatory for ecological, climatic and socioeconomic monitoring of the steppe ecosystem",,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
14,Algeria,4912,BTR,Hazard,Observed climate,"An intense heat wave affected northern Algeria between August 9 and 15, 2021, during which 12 new maximum temperature records were recorded",Extreme temperature,,NA,,NA,NA,NA,NA,,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
15,Algeria,4913,BTR,Hazard,Observed climate,"For the North region, the cumulative rainfall, during the period 2020-2023, reveals contrasting values in 2021, with precipitation close to normal in some localities. However, a notable deficit is observed during the years 2022 and 2023, reaching a decrease of more than 50% compared to the climatic normal calculated over the period 1991-2020.",Change in precipitation,,NA,,NA,NA,NA,NA,,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
16,Algeria,4914,BTR,Hazard,Observed climate,"For the Southern region of Algeria, it experienced significant variability in rainfall during the period 2020-2023. While 2021 presented a near-normal cumulative rainfall, or even excess in some localities, the years 2022 and 2023 are characterized by a notable deficit accentuated in the stations of Tamanrasset and Djanet. These deficits highlight the increased vulnerability of the Southern region to climate fluctuations, exacerbated by global climate change.",Change in precipitation,,NA,,NA,NA,NA,NA,,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
17,Algeria,4994,BTR,Action,Evaluation,Development and extension of irrigation (drip) in water-saving system,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
18,Algeria,4995,BTR,Indicator,Evaluation,Annual increase in irrigated area,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
19,Algeria,4996,BTR,Result,Evaluation,"We went from 757,494 ha irrigated in 2018 to 996,807 ha in 2022. Water savers have enabled water savings of more than 20%, or the water requirement of 200,000 ha",,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
20,Algeria,4997,BTR,Result,Evaluation,"Irrigated area 2019: 1489,988 ha -2022: 1489,988 ha",,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
21,Algeria,4998,BTR,Result,Evaluation,Training of managers and farmers as a continuous action by the institutes under supervision and the chambers of farmers of the wi-layas,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
22,Algeria,4999,BTR,Adaptation priorities,Evaluation,Improving agricultural practices for better use of rainwater in semi-arid areas,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
23,Algeria,5000,BTR,Result,Evaluation,Demonstration site identified,,,Agriculture,"Food, fiber, other ecosystem products",NA,NA,NA,NA,Food and agriculture,NA,Africa,Non-Annex I,2024,French,No,NA,NA,NA,Winfred,NA
