"Country","Document","Year of Submission","Variable","Evidence"
"Algeria","BTR",2024,"HazardSystem","[4932 • System at risk] The effects of climate change are manifested by shorter rainy seasons, intense heat waves, an increase in flooding, a drastic reduction in water supply to watersheds, significant drawdowns in several …"
"Algeria","BTR",2024,"HazardPriority","[5007 • Adaptation priorities] Develop sowing techniques in marginal areas and areas that are fragile and sensitive to erosion"
"Algeria","BTR",2024,"HazardAction","[5041 • Action] Development of a flood risk prevention plan in the Seybouse watershed (PPRI)"
"Algeria","BTR",2024,"HazardResult","[5043 • Result] Development and implementation of the Seybouze PPRI The hazard and issue maps must be extended to the entire territory to identify the red and blue zones, sensitive to flooding."
"Algeria","BTR",2024,"SystemPriority","[5015 • Adaptation priorities] Restoration of the steppe ecosystem through the regeneration of alfa"
"Algeria","BTR",2024,"SystemAction","[4994 • Action] Development and extension of irrigation (drip) in water-saving system"
"Algeria","BTR",2024,"SystemResult","[4996 • Result] We went from 757,494 ha irrigated in 2018 to 996,807 ha in 2022. Water savers have enabled water savings of more than 20%, or the water requirement of 200,000 ha"
"Andorra","BTR",2023,"HazardSystem","[5630 • System at risk] Vulnerability of ski resorts, due to the decrease in natural snow, which depends on altitude."
"Andorra","BTR",2023,"HazardPriority",NA
"Andorra","BTR",2023,"HazardAction","[5648 • Action] The diversification of snow tourism towards mountain or nature tourism (more (seasonally adjusted). The figures show that the annual number of tourists has not decreased recent years and the numbe…"
"Andorra","BTR",2023,"HazardResult",NA
"Andorra","BTR",2023,"SystemPriority",NA
"Andorra","BTR",2023,"SystemAction","[5648 • Action] The diversification of snow tourism towards mountain or nature tourism (more (seasonally adjusted). The figures show that the annual number of tourists has not decreased recent years and the numbe…"
"Andorra","BTR",2023,"SystemResult",NA
"Argentina","BTR",2024,"HazardSystem","[5666 • System at risk] Risk of health problems for people due to floods (physical damage, infections and health effects) mental)."
"Argentina","BTR",2024,"HazardPriority","[5694 • Adaptation priorities] Develop cartography of the areas most vulnerable to desertification due to climatic factors in the future scenarios."
"Argentina","BTR",2024,"HazardAction",NA
"Argentina","BTR",2024,"HazardResult",NA
"Argentina","BTR",2024,"SystemPriority","[5695 • Adaptation priorities] Strengthening design and maintenance of infrastructures of resilient transport climate, including railways, roads (including bridges and tunnels), roads rural, ports and airports."
"Argentina","BTR",2024,"SystemAction",NA
"Argentina","BTR",2024,"SystemResult",NA
"Australia","BTR",2024,"HazardSystem","[8042 • System at risk] climate change is expected to affect human life and health through a variety of channels, from acute impacts associated with natural disasters to the slow-onset changes such as increases in average te…"
"Australia","BTR",2024,"HazardPriority","[8086 • Adaptation priorities] • Urban Water Strategy: A strategy will be developed to integrate management of recycled water (including stormwater) and mains water to support liveability and climate resilience."
"Australia","BTR",2024,"HazardAction","[8100 • Action] Developing a National Heat-Health Action Plan to minimise the health impacts of heat."
"Australia","BTR",2024,"HazardResult","[8102 • Result] The Critical Infrastructure Risk Management Program (CIRMP) is intended to uplift core security practices that relate to the management of certain critical infrastructure assets. The CIRMP framework r…"
"Australia","BTR",2024,"SystemPriority","[8066 • Adaptation priorities] Many states and territories publish regular reports on observed and projected impacts of climate change. This evidence base supports governments to plan and implement effective adaptation at the local…"
"Australia","BTR",2024,"SystemAction","[8097 • Action] Completing the health component of Australia’s National Climate Risk Assessment."
"Australia","BTR",2024,"SystemResult","[8095 • Result] For the private sector, recent and new climate risk disclosure and management requirements for large listed and unlisted businesses, financial institutions and critical infrastructure will together pr…"
"Austria","BTR",2024,"HazardSystem",NA
"Austria","BTR",2024,"HazardPriority","[1944 • Adaptation priorities] The strategy emphasizes protection for vulnerable groups, including low-income households, the elderly, and those in rural or high-risk areas. Tailored adaptation measures, such as targeted public hea…"
"Austria","BTR",2024,"HazardAction",NA
"Austria","BTR",2024,"HazardResult","[1961 • Result] In the water sector progress has been made regarding flood risk management and aquatic ecology."
"Austria","BTR",2024,"SystemPriority","[1933 • Adaptation priorities] Regular Progress Monitoring: Adaptation is an ongoing process, with systematic monitoring and iterative learning forming the foundation for success. Austria plans adaptation evaluations on a five-year…"
"Austria","BTR",2024,"SystemAction","[1945 • Action] In 2016, the KLAR! programme for Climate Adaptation Model Regions has been launched to support Austrian regions and municipalities in preparing for climate change by implementing adaptation measures i…"
"Austria","BTR",2024,"SystemResult","[1959 • Result] Awareness for the need of adaptation measures in agriculture is continuously increasing. A considerable share of the measures of the Austrian Agri-Environmental Programme contributed to adaptation; al…"
"Belarus","BTR",2024,"HazardSystem","[5180 • System at risk] Changes in climatic conditions directly or indirectly (through changes in groundwater levels, fires, proliferation of forest pests and aggravation of disease development) affect the condition of fores…"
"Belarus","BTR",2024,"HazardPriority","[5134 • Adaptation priorities] Restoration of lands disturbed as a result of large-scale drainage reclamation (reduction of areas with destroyed fertile soil layer, application of forest reclamation to reduce wind erosion, monitori…"
"Belarus","BTR",2024,"HazardAction",NA
"Belarus","BTR",2024,"HazardResult",NA
"Belarus","BTR",2024,"SystemPriority","[5134 • Adaptation priorities] Restoration of lands disturbed as a result of large-scale drainage reclamation (reduction of areas with destroyed fertile soil layer, application of forest reclamation to reduce wind erosion, monitori…"
"Belarus","BTR",2024,"SystemAction",NA
"Belarus","BTR",2024,"SystemResult",NA
"Belize","BTR",2024,"HazardSystem","[325 • System at risk] Prolonged heat waves will also alter the distribution of pests and diseases, further threatening crop resilience and reducing food security"
"Belize","BTR",2024,"HazardPriority",NA
"Belize","BTR",2024,"HazardAction",NA
"Belize","BTR",2024,"HazardResult",NA
"Belize","BTR",2024,"SystemPriority","[354 • Adaptation priorities] The Government of Belize aims to incorporate gender considerations by improving the collection, analysis, and reporting of gender statistics and disaggregated data through regular national surveys …"
"Belize","BTR",2024,"SystemAction",NA
"Belize","BTR",2024,"SystemResult",NA
"Bhutan","BTR",2024,"HazardSystem","[8192 • Hazard] Local dry spells to increase significantly leading to challenges in meeting growing water demand for drinking, industrial, and irrigation purposes."
"Bhutan","BTR",2024,"HazardPriority","[8207 • Adaptation priorities] Access to Resilient Seeds: Ensuring farmers have access to climate-resilient seed varieties will help them adapt to changing climatic conditions and improve yields. This includes developing and distri…"
"Bhutan","BTR",2024,"HazardAction",NA
"Bhutan","BTR",2024,"HazardResult",NA
"Bhutan","BTR",2024,"SystemPriority","[8201 • Adaptation priorities] Development of Integrated Agriculture Landscape Systems"
"Bhutan","BTR",2024,"SystemAction",NA
"Bhutan","BTR",2024,"SystemResult",NA
"Brazil","BTR",2024,"HazardSystem","[6494 • System at risk] In 2023, the level of the Acre River rose 17.55 meters and around 56,000 people in Rio Branco were affected. In that same year, an unprecedented drought and heat wave severely impacted the waters of t…"
"Brazil","BTR",2024,"HazardPriority",NA
"Brazil","BTR",2024,"HazardAction",NA
"Brazil","BTR",2024,"HazardResult",NA
"Brazil","BTR",2024,"SystemPriority",NA
"Brazil","BTR",2024,"SystemAction","[6548 • Action] Resilient Green Cities Program:The Resilient Green Cities Program (PCVR, Programa Cidades Verdes Resilientes), established in June 2024, aims to increase the environmental quality and resilience of Br…"
"Brazil","BTR",2024,"SystemResult","[6582 • Result] Progress has been made in increasing scientific knowledge about adaptation to climate change and integrating the issue into other sectoral agendas. The actions reported also indicated the alignment of…"
"Bulgaria","BTR",2024,"HazardSystem","[164 • System at risk] Climate change poses significant risks to Bulgarian agriculture, with increased frequency of extreme weather events like droughts and floods. Projections indicate rising temperatures (by 2°C to 5°C) a…"
"Bulgaria","BTR",2024,"HazardPriority","[300 • Adaptation priorities] Priorities include improving disaster risk management for floods and droughts, safeguarding critical infrastructure, promoting sustainable land use, and fostering innovation and technology"
"Bulgaria","BTR",2024,"HazardAction","[286 • Action] Strengthening pest and disease control measures to mitigate the impact of climaterelated changes on crop health"
"Bulgaria","BTR",2024,"HazardResult","[280 • Result] Improved water retention, reduced flood risks, and enhanced biodiversity, with bird species increasing from 2 to 22 and fish species rising from 2 to 10 within months of the restoration efforts"
"Bulgaria","BTR",2024,"SystemPriority","[289 • Adaptation priorities] Increasing the use of renewable energy in the electricity, heating, cooling, and transport sectors. In the transport sector, the introduction of new-generation biofuels and renewable electricity will …"
"Bulgaria","BTR",2024,"SystemAction","[285 • Action] Improving the management of existing woodland to enhance ecosystem services and carbon sequestration."
"Bulgaria","BTR",2024,"SystemResult","[280 • Result] Improved water retention, reduced flood risks, and enhanced biodiversity, with bird species increasing from 2 to 22 and fish species rising from 2 to 10 within months of the restoration efforts"
"Burkina Faso","BTR",2024,"HazardSystem","[5252 • System at risk] Since 2022, part of National Road No. 1 has been regularly flooded during the rainy season, leading to the temporary cessation of traffic between the two major cities in the country."
"Burkina Faso","BTR",2024,"HazardPriority",NA
"Burkina Faso","BTR",2024,"HazardAction",NA
"Burkina Faso","BTR",2024,"HazardResult",NA
"Burkina Faso","BTR",2024,"SystemPriority",NA
"Burkina Faso","BTR",2024,"SystemAction",NA
"Burkina Faso","BTR",2024,"SystemResult",NA
"Cambodia","BTR",2024,"HazardSystem","[540 • System at risk] Farmers are already frequently facing floods and droughts, which lower agricultural yields and threaten food security"
"Cambodia","BTR",2024,"HazardPriority","[406 • Adaptation priorities] Increasing the use of mobile pumping stations and permanent stations in responding to mini droughts"
"Cambodia","BTR",2024,"HazardAction","[534 • Action] Cambodia has developed a specific Vulnerability Index (VI) to be able to track annually the percentage and number of communes scoring as highly vulnerable or quite vulnerable to three main types of cl…"
"Cambodia","BTR",2024,"HazardResult","[594 • Result] The private sector has taken the lead in livestock production by acquiring improved breeds of animals, providing improved animal feed, and processing facilities, reducing animal diseases through vacci…"
"Cambodia","BTR",2024,"SystemPriority","[409 • Adaptation priorities] Developing climate-proof tertiarycommunity irrigation to enhance the yields from agricultural production of paddy fields"
"Cambodia","BTR",2024,"SystemAction","[532 • Action] Under support from Cambodia Climate Change Alliance (CCCA), 15 government’s ministries have developed their own Climate Change Action Plans, which proposed of 171 climate actions projects related to a…"
"Cambodia","BTR",2024,"SystemResult","[631 • Result] The Royal Government of Cambodia (RGC) committed to eliminating P. falciparum by 2023 and to eliminating other Plasmodium species by 2025, through the launch of an innovative and targeted approach for…"
"Central African Republic","BTR",2024,"HazardSystem","[5361 • System at risk] The agricultural sector has a high sensitivity to pockets of drought, flooding, a late start to the rainy season, and drought."
"Central African Republic","BTR",2024,"HazardPriority",NA
"Central African Republic","BTR",2024,"HazardAction",NA
"Central African Republic","BTR",2024,"HazardResult",NA
"Central African Republic","BTR",2024,"SystemPriority","[5380 • Adaptation priorities] Raising public awareness and building capacity"
"Central African Republic","BTR",2024,"SystemAction",NA
"Central African Republic","BTR",2024,"SystemResult",NA
"Chile","BTR",2024,"HazardSystem","[1986 • System at risk] Combined with the megadrought, heat waves have intensified the conditions for large-scale and extensive forest fires"
"Chile","BTR",2024,"HazardPriority","[2012 • Adaptation priorities] All priority sectors recognize water management as a critical priority, given Chile’s vulnerability to droughts and extreme weather events"
"Chile","BTR",2024,"HazardAction",NA
"Chile","BTR",2024,"HazardResult","[2039 • Result] Health (2016) achieved 63% progress, with key measures including the creation of a climate coordination unit and predictive studies of vector-borne diseases;"
"Chile","BTR",2024,"SystemPriority","[2013 • Adaptation priorities] The 2020 NDC establishes eight commitments in terms of adaptation and focuses on updating studies on vulnerability and risks, strengthening adaptive capacity, and integrating adaptation and mitigation…"
"Chile","BTR",2024,"SystemAction","[2024 • Action] The update of the 2013 plan has evolved towards greater specificity, prioritising integrated water resource management, agro-environmental sustainability and agro-climatic risk management, moving away…"
"Chile","BTR",2024,"SystemResult","[2037 • Result] Biodiversity (2014) reached 81% progress in its 50 measures, with notable achievements such as the national biodiversity monitoring network and the use of wetlands as indicators of watershed health;"
"China","BTR",2024,"HazardSystem",NA
"China","BTR",2024,"HazardPriority","[8939 • Adaptation priorities] By 2025, China aims to significantly enhance capabilities for flood and drought defense, secure and intensive utilization of water resources, optimized allocation of water resources, and ecological pr…"
"China","BTR",2024,"HazardAction","[8956 • Action] Pre-disaster coordination has been strengthened, and the mechanism for joint consultation, warning, and release was optimized, integrating large-scale, high-intensity, and potentially disaster-prone h…"
"China","BTR",2024,"HazardResult",NA
"China","BTR",2024,"SystemPriority","[8936 • Adaptation priorities] strategy proposed specific adaptation tasks with varying focuses based on the impacts of climate change on different regions’ livelihoods, dividing key regions in China into three main adaptation zone…"
"China","BTR",2024,"SystemAction","[8959 • Action] The Blue Book on Climate Change of China 2023, the Blue Book on Marine Climate Change of China 2022, the China Climate Bulletin (2021, and 2022), the National Eco-meteorological Bulletin 2022, the Gre…"
"China","BTR",2024,"SystemResult",NA
"Colombia","BTR",2024,"HazardSystem","[5703 • System at risk] In general, it has been identified as a trend that areas associated with dry ecosystems and desertification processes show signs of increasing water stress associated with the reduction in runoff and …"
"Colombia","BTR",2024,"HazardPriority","[5743 • Adaptation priorities] Create dynamic maps of agroclimatic risks such as frost, drought, and other phenomena, to disseminate them among agroclimatic committees."
"Colombia","BTR",2024,"HazardAction",NA
"Colombia","BTR",2024,"HazardResult",NA
"Colombia","BTR",2024,"SystemPriority","[5740 • Adaptation priorities] Development of guidelines applicable to tourism in vulnerable ecosystems."
"Colombia","BTR",2024,"SystemAction","[5754 • Action] In 2023, within the framework of the Nature-based Solutions Pilot for the Urrá Hydroelectric Plant, Córdoba: a characterization of the ecosystem services provided by the ecosystems around the Sinú Riv…"
"Colombia","BTR",2024,"SystemResult","[5762 • Result] The wastewater treatment reported by the Superintendency of Public Services (SSPD) for 2022 indicates that 55.07% of the wastewater generated has been treated, corresponding to 36.33 million cubic met…"
"Costa Rica","BTR",2024,"HazardSystem","[5845 • System at risk] Threat of entry into the country of the aggressive fungus Fusarium, which is easily spread by water, which could be aggravated by excessive rainfall and flooding."
"Costa Rica","BTR",2024,"HazardPriority",NA
"Costa Rica","BTR",2024,"HazardAction",NA
"Costa Rica","BTR",2024,"HazardResult",NA
"Costa Rica","BTR",2024,"SystemPriority","[5877 • Adaptation priorities] Knowledge management on the effects of climate change, climate services and development of local and institutional capacities: it focuses on the generation of robust and reliable information, an obj…"
