"Country","Document","IVRA","Planning","Implementation","MEL","NumAspectsCovered"
"Algeria","BTR",1,1,1,1,4
"Andorra","BTR",1,0,1,0,2
"Argentina","BTR",1,1,1,0,3
"Australia","BTR",1,1,1,1,4
"Austria","BTR",1,1,1,1,4
"Belarus","BTR",1,1,0,0,2
"Belize","BTR",1,1,1,0,3
"Bhutan","BTR",1,1,0,0,2
"Brazil","BTR",1,0,1,1,3
"Bulgaria","BTR",1,1,1,1,4
"Burkina Faso","BTR",1,0,1,0,2
"Cambodia","BTR",1,1,1,1,4
"Central African Republic","BTR",1,1,1,0,3
"Chile","BTR",1,1,1,1,4
"China","BTR",1,1,1,0,3
"Colombia","BTR",1,1,1,1,4
"Costa Rica","BTR",1,1,1,0,3
"Côte d'Ivoire","BTR",1,1,1,1,4
"Croatia","BTR",1,1,1,0,3
"Cuba","BTR",1,1,1,1,4
"Czech Republic","BTR",1,0,0,0,1
"Ecuador","BTR",1,0,1,0,2
"Egypt","BTR",1,1,1,0,3
"Estonia","BTR",1,0,1,0,2
"Finland","BTR",1,0,1,1,3
"Gabon","BTR",1,1,1,0,3
"Ghana","BTR",1,1,1,1,4
"Greece","BTR",1,1,1,1,4
"Guyana","BTR",1,1,0,0,2
"Honduras","BTR",1,1,1,0,3
"Indonesia","BTR",1,1,1,1,4
"Ireland","BTR",1,1,1,1,4
"Israel","BTR",1,1,1,0,3
"Italy","BTR",0,0,1,1,2
"Kazakhstan","BTR",1,1,1,0,3
"Kenya","BTR",1,1,1,1,4
"Latvia","BTR",1,1,1,1,4
"Lebanon","BTR",1,1,1,1,4
"Lithuania","BTR",1,1,1,1,4
"Luxembourg","BTR",1,0,1,0,2
"Maldives","BTR",1,1,1,1,4
"Malta","BTR",1,0,1,1,3
"Mauritius","BTR",1,1,0,1,3
"Mexico","BTR",1,1,1,1,4
"Moldova","BTR",1,1,1,1,4
"Monaco","BTR",1,1,1,1,4
"Montenegro","BTR",1,1,1,0,3
"Morocco","BTR",1,1,1,1,4
"Namibia","BTR",1,1,1,1,4
"Nepal","BTR",1,1,1,1,4
"Nigeria","BTR",1,1,1,1,4
"Norway","BTR",1,1,1,0,3
"Panama","BTR",1,1,1,1,4
"Paraguay","BTR",1,1,1,1,4
"Peru","BTR",1,1,1,1,4
"Phillipines","BTR",1,1,1,0,3
"Poland","BTR",1,1,1,1,4
"Portugal","BTR",1,1,1,0,3
"Russia","BTR",1,1,1,0,3
"Rwanda","BTR",1,1,1,1,4
"Serbia","BTR",1,1,1,1,4
"Seychelles","BTR",1,1,1,1,4
"Slovakia","BTR",1,1,1,0,3
"Slovenia","BTR",1,1,1,0,3
"South Africa","BTR",1,1,1,1,4
"Spain","BTR",1,1,1,0,3
"Sweden","BTR",1,0,1,0,2
"Tajikistan","BTR",1,1,0,0,2
"Thailand","BTR",1,1,1,1,4
"Tunisia","BTR",0,1,0,0,1
"Türkiye","BTR",1,1,1,1,4
"Uruguay","BTR",1,1,1,1,4
"USA","BTR",1,1,1,0,3
"Uzbekistan","BTR",1,1,1,1,4
"Vanuatu","BTR",1,1,1,0,3
"Venezuela","BTR",1,0,0,0,1
"Zimbabwe","BTR",1,1,1,0,3
