"Country","Document","Element","ElementLabel","HazardType","SystemType","Sector","SectorType","SectorType_GGA","ElementText"
"Argentina","BTR","System at risk","Risks","",NA,NA,NA,NA,"Risk of damage to ecosystems due to an increase in
extent, occurrence and spread of fires."
"Australia","BTR","System at risk","Terrestrial and freshwater ecosystems","",NA,NA,NA,NA,"There has been an increase in extreme fire weather, and in the length of the fire season, across large parts of the country since the 1950s, especially in southern Australia. In recent years pressures on ecosystems showing signs of collapse have become more severe, widespread and frequent. Climate change has shown to be a key pressure for 18 out of 19 Australian ecosystems assessed, primarily through changes in temperature"
"Australia","BTR","System at risk","Second pass assessment risks","",NA,NA,NA,NA,"Risk to adaptation from maladaptation and inaction from governance structures not fit to address changing climate risks"
"Bulgaria","BTR","System at risk","Changes in precipitation","",NA,NA,NA,NA,"Certain areas, such as the Eastern Rhodopes and northeastern Bulgaria, show significant increases, while decreases are noted in southwestern Bulgaria and high mountain zones"
"Cambodia","BTR","System at risk","Vulnerability","",NA,"Rice",NA,NA,"Drought caused 1.09 million ha of damage and flood caused twice between 1984 and 2018"
"Cambodia","BTR","System at risk","Heat waves","",NA,NA,NA,NA,"An increase in the frequency and intensity of heatwaves has been observed across recent decades that made a 29% contribution to the extreme temperatures experienced across Southeast Asia in April 2016, while ENSO contributed 49%"
"Central African Republic","BTR","System at risk","Level of exposure","",NA,NA,NA,NA,"Sesame and cotton have a high sensitivity to the extension of the rainy season, but less sensitivity to an early start to the rains."
"Cuba","BTR","System at risk","Vulnerability","",NA,"Hydraulic system",NA,NA,"The intensity of the erosion and sedimentation processes that take place in the country have reduced reservoir capacities, affecting the rate of available water"
"Gabon","BTR","System at risk","Risks and vulnerabilities","",NA,NA,NA,NA,"In addition to these floodings, there are also significant saline intrusions, especially in dry season (between June and September), when the Ogooué is less loaded with fresh water."
"Gabon","BTR","System at risk","Challenges","",NA,"Technology and innovation",NA,NA,"Lack of access to modern technologies to anticipate and respond to the impacts of climate change."
"Gabon","BTR","System at risk","Challenges","",NA,"Technology and innovation",NA,NA,"Low innovation capacity to develop solutions sustainable adaptation."
"Guyana","BTR","System at risk","Risk","",NA,"Community and Regional Development",NA,NA,"Increase in extreme rainfall events causes flooding with the consequence that resources are required for disaster response efforts"
"Kazakhstan","BTR","System at risk","Vulnerability","",NA,NA,NA,NA,"Increased temperatures will elevate cooling demands during the warm season while reducing heating needs during the cold season"
"Kazakhstan","BTR","System at risk","Vulnerability","",NA,NA,NA,NA,"Mudflows alone are projected to increase tenfold, threatening 26% of Kazakhstan’s population living in high-risk areas, particularly mountainous regions"
"Kazakhstan","BTR","System at risk","Vulnerability","",NA,NA,NA,NA,"Concurrently, more intense downpours24 are expected to increase the frequency and severity of floods and mudflows, with weatherrelated emergencies rising from 39 in 2012 to 130 in 2021."
"Kenya","BTR","System at risk",NA,"",NA,NA,NA,NA,"The 2008 – 2011 drought is estimated to have cost Kenya USD12.1 billion, including USD 805.6 million for the destruction of physical and durable assets"
"Mexico","BTR","System at risk","Barriers","",NA,NA,NA,NA,"In 2021, hydrometeorological phenomena, mainly tropical cyclones, severe rains and floods affected 196 municipalities in the country, of which 31.1% have a high degree of  arginalization, while 10.8% has a very high degree"
"Monaco","BTR","System at risk","Observed effects","",NA,NA,NA,NA,"Even though air pollutant emission levels are falling significantly, with increasing temperatures and sunshine, favorable conditions for the occurrence of ozone peaks could occur more frequently and during longer periods (from spring to autumn)."
"Monaco","BTR","System at risk","Observed effects","",NA,NA,NA,NA,"Worsening of flooding and submerged areas"
"Morocco","BTR","System at risk","Temperatures","",NA,NA,NA,NA,"In addition to these droughts, there are events extreme weather, such as thunderstorms and floods causing property damage and humans, particularly in the Tangier-Tetouan-Al Hoceima region and in the  southeast of the country."
"Morocco","BTR","System at risk","Precipitation","",NA,NA,NA,NA,"Climate projections predict a decrease in precipitation of 5 to 20% by 2050, which will lead to a significant drop in surface runoff and accentuate the deficit of water."
"Nepal","BTR","System at risk","Future scenarios","",NA,NA,NA,NA,"These severities of the impacts are likely to experienced high/very by most of the districts of Koshi province, Madesh province, Bagmati province and Gandaki province by 2030. Tarai districts and districts of Province two are expected to experience increased extreme events, and the eastern districts of Province one will experience a very high incidence of extreme events."
"Norway","BTR","System at risk","Climate trends and hazards","",NA,NA,NA,NA,"More precipitation, especially over short periods of time, increases the risk of stormwater and of more frequent and extensive rainwater flooding. Periods of heavy precipitation may result in more landslides and debris floods."
"Panama","BTR","System at risk","Risks","",NA,NA,NA,NA,"Risk of drought and alteration of the hydrological regime"
"Panama","BTR","System at risk","Risks","",NA,NA,NA,NA,"Human risks associated with fires"
"Panama","BTR","System at risk","Risks","",NA,NA,NA,NA,"Risk of death from heat waves"
"Paraguay","BTR","System at risk","Climate projections","",NA,NA,NA,NA,"Projections indicate increases significant in the average annual temperature in Paraguay around the year 2100."
"Peru","BTR","System at risk","Glacier retreats","",NA,NA,NA,NA,"In future scenarios, the level of hazard caused by Glacier retreat is gradually increasing. By 2030, the danger level is high to very high, while, by 2050, all glaciers will present a very high level of danger"
"Phillipines","BTR","System at risk","Risk","",NA,NA,NA,NA,"Increased precipitation significantly increases the risk of landslides, threatening the lives of two million Filipinos."
"Portugal","BTR","System at risk","Impact","",NA,NA,NA,NA,"Iberia is highly vulnerable to climate change, indicating a significant increase in the intensity and severity of drought occurrences, even for the low-end RCP2.6 scenario. For the RCP4.5 and RCP8.5 scenarios, the increases are more pronounced and enhanced throughout the 21st century, from 3 up to 12 more severe droughts for the shorter timescales with increases in mean duration above 30 months for the longer accumulation periods."
"Russia","BTR","System at risk","Impacts, Risks and Vulnerabilities","",NA,NA,NA,NA,"Rising air temperatures increase the risks both in cold and in warm periods (the need for heating and air conditioning will change significantly, especially in the south of the country)."
"Tajikistan","BTR","System at risk","Future changes","",NA,NA,NA,NA,"The reduction in the number of glaciated zones will have a significant impact on fresh water supplies in the Panj, Vakhsh and Zeravshan basins, which will further exacerbate tensions over water rights, both within and outside the country"
"Türkiye","BTR","System at risk","vulnerability and risk assessment","",NA,NA,NA,NA,"Heatwaves also present high risks, particularly in western and southern Türkiye, with risks expected to increase in the future."
