Country,total_points
Guyana,464
Pakistan,397
South Africa,374
Cambodia,320
Kenya,312
Thailand,286
Azerbaijan,274
Seychelles,230
Nepal,220
Denmark,215
Australia,213
Netherlands,207
Türkiye,199
Sri Lanka,191
Maldives,180
Montenegro,180
Vanuatu,180
Croatia,178
Algeria,176
Latvia,174
Costa Rica,168
Slovakia,161
Bulgaria,159
New Zealand,157
Rwanda,155
Namibia,153
Ghana,152
Belarus,151
China,151
Poland,146
Serbia,145
Côte d'Ivoire,141
United Kingdom of Great Britain and Northern Ireland,132
Germany,130
Brazil,129
Indonesia,128
Peru,127
Lebanon,125
Cuba,121
Andorra,118
Moldova,118
Monaco,108
Phillipines,108
Kazakhstan,106
Sweden,104
Russia,103
Zimbabwe,102
Greece,100
Burkina Faso,97
Lithuania,92
Morocco,92
Uzbekistan,92
Chile,90
Finland,86
Panama,83
Paraguay,83
Estonia,77
Egypt,73
Uruguay,73
Czech Republic,72
France,71
Portugal,71
Tajikistan,69
Colombia,68
Mauritius,68
Bhutan,65
Belize,60
Canada,60
Norway,60
Brunei Darussalam,59
Gabon,59
EU,58
Republic of Korea,58
Central African Republic,57
Saudi Arabia,55
Slovenia,54
Solomon Islands,53
Venezuela,52
Honduras,51
USA,48
Nigeria,47
Bolivia,45
Argentina,44
Belgium,44
Israel,43
Spain,43
Mexico,40
Austria,39
Luxembourg,36
Tunisia,35
Japan,32
Ecuador,30
Malta,27
Italy,21
Ireland,12
NA,11
