"Country","Document","Element","ElementText","HazardType","SystemType","SectorType","SectorType_GGA"
"Algeria","BTR","System at risk","Since 2016, there has been a recurring cycle of drought, with a decline in rainfall, especially in the western region. The deficit is increasing and may become irreversible.","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Algeria","BTR","System at risk","Droughts have had a proven impact on the surface water potential of the North of the country with a downward trend: 6.5 billion m3 /year at the end of the 1970s, 5 billion m3 /year in the 1980s and 4 billion m3 / year in the 2000s","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Algeria","BTR","System at risk","The locust plague is among the risks of natural disasters and is strongly impacted by climatic factors and winds.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Algeria","BTR","System at risk","The accelerating effects of climate change, combined with the constant increase in demand, have severely impacted the national water potential. Hydrology has been completely disrupted, rendering traditional forecasting models obsolete and outdated","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Andorra","BTR","System at risk","Vulnerability of the industrial sector to the foreseeable increase in
natural hazards.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Andorra","BTR","System at risk","Soil vulnerability to climatic phenomena
extremes such as very heavy rainfall, strong storms,
torrents and landslides that will generate more erosion
from the ground.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Andorra","BTR","System at risk","Vulnerability of nearby urbanized or developable areas
to watercourses, (urban guarantee), towards the risk of
large avenues.","",NA,"Crosscutting",NA
"Andorra","BTR","System at risk","Vulnerability of urbanized areas downstream of zones
channeled.","",NA,"Crosscutting",NA
"Andorra","BTR","System at risk","Vulnerability of the public economy to cope with the
increase in costs associated with water treatment, given
the possible decrease in its quality and quantity.","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Andorra","BTR","System at risk","Vulnerability of the ecological status of aquatic systems,
due to the decrease in the quantity and quality of water.","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Andorra","BTR","System at risk","Vulnerability of accessibility to the country due to the impact of
extreme weather events.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Andorra","BTR","System at risk","Vulnerability of the public economy to cope with the
increase in costs associated with water treatment, given
the possible decrease in its quality and quantity.","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Andorra","BTR","System at risk","Vulnerability of plants to phenological changes that
can cause imbalances with the cycles of pollinators.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Andorra","BTR","System at risk","Vulnerability of the human and animal population to the greatest
frequency and intensity of fires, snowfall, cold waves and
heat, frost, lightning, landslides, drifting currents and
others.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Argentina","BTR","System at risk","Risk of damage to ecosystems due to an increase in
extent, occurrence and spread of fires.","",NA,NA,NA
"Australia","BTR","System at risk","There has been an increase in extreme fire weather, and in the length of the fire season, across large parts of the country since the 1950s, especially in southern Australia. In recent years pressures on ecosystems showing signs of collapse have become more severe, widespread and frequent. Climate change has shown to be a key pressure for 18 out of 19 Australian ecosystems assessed, primarily through changes in temperature","",NA,NA,NA
"Australia","BTR","System at risk","Risk to adaptation from maladaptation and inaction from governance structures not fit to address changing climate risks","",NA,NA,NA
"Brazil","BTR","System at risk","Projections indicate a reduction in long-period flow rates (Q9056) and an increase in episodes of extreme drought, especially in the Center-West.","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Brazil","BTR","System at risk","With longer periods of drought and variability in rainfall, there will be a greater need for irrigation, especially in the Cerrado and Caatinga. The demand for irrigation is expected to increase by 66% by 2040, requiring compatibility with other water uses","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Brazil","BTR","System at risk","Rising temperatures also have an impact on reduced efficiency and increased maintenance and cooling of equipment, plants and systems.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Brazil","BTR","System at risk","The effects of climate change tend to aggravate flooding and erosion processes caused by rising sea levels and extreme events","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Bulgaria","BTR","System at risk","Extreme weather events may damage transmission lines, especially in mountainous areas, and heat waves may reduce transmission efficiency","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Bulgaria","BTR","System at risk","Landslides may also be triggered by earthquakes, which, while not linked to climate change, should be considered in the adaptation process","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Bulgaria","BTR","System at risk","Certain areas, such as the Eastern Rhodopes and northeastern Bulgaria, show significant increases, while decreases are noted in southwestern Bulgaria and high mountain zones","",NA,NA,NA
"Bulgaria","BTR","System at risk","While snowfall is expected to decrease in the long term, blizzards and heavy snow will remain disruptive in the short- and medium-term, especially in northern and northeastern regions","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Bulgaria","BTR","System at risk","Habitat deterioration: High-altitude habitats and those listed as endangered in the Red Data Book of Bulgaria are particularly at risk","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Bulgaria","BTR","System at risk","Urban areas in Bulgaria have experienced an increase in average annual temperatures and a higher frequency of intense precipitation, often accompanied by wind storms or hail, leading to a rise in floods","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Bulgaria","BTR","System at risk","Heat islands are expected to form more often in large cities, with increased construction density and intensity. This will intensify the impact of high temperatures","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Cambodia","BTR","System at risk","Climate change is projected to cause longer and dryer dry seasons and shorter rainy seasons","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Cambodia","BTR","System at risk","Drought caused 1.09 million ha of damage and flood caused twice between 1984 and 2018","",NA,NA,NA
"Cambodia","BTR","System at risk","An increase in the frequency and intensity of heatwaves has been observed across recent decades that made a 29% contribution to the extreme temperatures experienced across Southeast Asia in April 2016, while ENSO contributed 49%","",NA,NA,NA
"Central African Republic","BTR","System at risk","Sesame and cotton have a high sensitivity to the extension of the rainy season, but less sensitivity to an early start to the rains.","",NA,NA,NA
"Costa Rica","BTR","System at risk","Threat of entry into the country of the aggressive fungus Fusarium, which is easily spread by water, which could be aggravated by excessive rainfall and flooding.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Costa Rica","BTR","System at risk","Negative effects on performance could be related to an increasing temperature trend
nocturnal, in some parts of the country.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Costa Rica","BTR","System at risk","Loss of plants, as well as damage and alterations in
the stems, due to heavy rains and floods.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Costa Rica","BTR","System at risk","Increased risk due to heat stress.","",NA,"Health, wellbeing, communities","Health"
"Costa Rica","BTR","System at risk","Reduction in productivity due to lower quantity
of sugars in the stem due to excessive rain.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Costa Rica","BTR","System at risk","Induction of asynchronous natural flowering by extreme temperatures, which produce ripening of the fruit at different rates in the same batch, increasing harvesting costs.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
