"Region","System at Risk Category","Occurrences"
"Latin America and the Carribean","Infrastructure and services",137
"Western Europe and Other states","Infrastructure and services",128
"Latin America and the Carribean","Crop",104
"Eastern Europe","Infrastructure and services",98
"Asia-Pacific","Infrastructure and services",97
"Latin America and the Carribean","Coastal",93
"Africa","Infrastructure and services",85
"Latin America and the Carribean","Health",84
"Asia-Pacific","Crop",83
"Latin America and the Carribean","Livelihoods and poverty",83
"Latin America and the Carribean","Freshwater",78
"Asia-Pacific","Freshwater",73
"Africa","Crop",72
"Asia-Pacific","Coastal",62
"Africa","Health",61
"Africa","Freshwater",58
"Western Europe and Other states","Freshwater",58
"Eastern Europe","Crop",56
"Africa","Coastal",55
"Eastern Europe","Freshwater",55
"Asia-Pacific","Livelihoods and poverty",54
"Western Europe and Other states","Health",54
"Western Europe and Other states","Coastal",52
"Asia-Pacific","Health",51
"Latin America and the Carribean","Biodiversity",49
"Western Europe and Other states","Crop",48
"Eastern Europe","Health",47
"Asia-Pacific","Biodiversity",46
"Western Europe and Other states","Biodiversity",44
"Latin America and the Carribean","Terrestrial",39
"Eastern Europe","Forest",37
"Eastern Europe","Livelihoods and poverty",37
"Western Europe and Other states","Livelihoods and poverty",35
"Western Europe and Other states","Forest",34
"Latin America and the Carribean","Fisheries and aquaculture",30
"Africa","Livelihoods and poverty",29
"Asia-Pacific","Terrestrial",29
"Asia-Pacific","Forest",27
"Western Europe and Other states","Terrestrial",27
"Eastern Europe","Biodiversity",26
"Africa","Biodiversity",24
"Latin America and the Carribean","Forest",24
"Africa","Livestock",23
"Asia-Pacific","Gender and inclusion",20
"Asia-Pacific","Fisheries and aquaculture",19
"Eastern Europe","Terrestrial",19
"Eastern Europe","Coastal",18
"Africa","Food and nutrition",17
"Asia-Pacific","Livestock",15
"Africa","Forest",14
"Africa","Terrestrial",14
"Africa","Gender and inclusion",13
"Latin America and the Carribean","Food and nutrition",12
"Latin America and the Carribean","Human security and Peace",12
"Africa","Fisheries and aquaculture",10
"Western Europe and Other states","Livestock",10
"Asia-Pacific","Food and nutrition",9
"Asia-Pacific","Human security and Peace",9
"Latin America and the Carribean","Gender and inclusion",9
"Latin America and the Carribean","Livestock",9
"Western Europe and Other states","Gender and inclusion",9
"Africa","Human security and Peace",8
"Eastern Europe","Fisheries and aquaculture",6
"Eastern Europe","Gender and inclusion",6
"Eastern Europe","Human security and Peace",6
"Eastern Europe","Livestock",6
"Western Europe and Other states","Fisheries and aquaculture",5
"Eastern Europe","Food and nutrition",3
"Western Europe and Other states","Food and nutrition",3
"Western Europe and Other states","Human security and Peace",1
